Generating SQLite file experiments/subdescriptor_replay_oracle_20260826/nsys/netcard_d30_k1000000_cuda13.sqlite from experiments/subdescriptor_replay_oracle_20260826/nsys/netcard_d30_k1000000_cuda13.nsys-rep
Processing [experiments/subdescriptor_replay_oracle_20260826/nsys/netcard_d30_k1000000_cuda13.sqlite] with [/usr/local/cuda-13.1/nsight-systems-2025.5.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,2304,3,768.0,768.0,768,768,0.0,"void cub::_V_300303_SM_1200::detail::transform::transform_kernel<cub::_V_300303_SM_1200::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<>, thrust::_V_300303_SM_1200::device_ptr<int>>, int, cub::_V_300303_SM_1200::detail::transform::always_true_predicate, thrust::_V_300303_SM_1200::cuda_cub::__return_constant<int>, int *, >(T2, int, bool, T3, T4, T5, cub::_V_300303_SM_1200::detail::transform::kernel_arg<T6>...)"
0.0,2048,3,682.7,672.0,672,704,18.5,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, thrust::_V_300303_SM_1200::cuda_cub::__uninitialized_fill::functor<int *, int>>(T2, T3)"
0.0,1824,1,1824.0,1824.0,1824,1824,0.0,"void thrust::_V_300303_SM_1200::cuda_cub::core::detail::_kernel_agent<thrust::_V_300303_SM_1200::cuda_cub::__reduce::ReduceAgent<cuda::std::__4::tuple<unsigned long long, long> *, cuda::std::__4::tuple<unsigned long long, long> *, cuda::std::__4::tuple<unsigned long long, long>, int, thrust::_V_300303_SM_1200::cuda_cub::__extrema::arg_max_f<unsigned long long, long, cuda::std::__4::less<unsigned long long>>>, cuda::std::__4::tuple<unsigned long long, long> *, cuda::std::__4::tuple<unsigned long long, long> *, int, thrust::_V_300303_SM_1200::cuda_cub::__extrema::arg_max_f<unsigned long long, long, cuda::std::__4::less<unsigned long long>>>(T2...)"
0.0,1760,1,1760.0,1760.0,1760,1760,0.0,"void cub::_V_300303_SM_1200::detail::transform::transform_kernel<cub::_V_300303_SM_1200::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<int>>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<int>>>, int, cub::_V_300303_SM_1200::detail::transform::always_true_predicate, gpucpg::build_tc_pfxt_bvss_on_device(int, int, const int *, const int *, const int *, gpucpg::TcPfxtDeviceBvss &)::[lambda(int) (instance 1)], int *, int *>(T2, int, bool, T3, T4, T5, cub::_V_300303_SM_1200::detail::transform::kernel_arg<T6>...)"
0.0,1568,1,1568.0,1568.0,1568,1568,0.0,"void thrust::_V_300303_SM_1200::cuda_cub::core::detail::_kernel_agent<thrust::_V_300303_SM_1200::cuda_cub::__reduce::ReduceAgent<thrust::_V_300303_SM_1200::zip_iterator<cuda::std::__4::tuple<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, thrust::_V_300303_SM_1200::counting_iterator<long, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::compile_time_value<(int)1>>>>, cuda::std::__4::tuple<gpucpg::PfxtNode, long> *, cuda::std::__4::tuple<gpucpg::PfxtNode, long>, int, thrust::_V_300303_SM_1200::cuda_cub::__extrema::arg_min_f<gpucpg::PfxtNode, long, gpucpg::pfxt_node_comp>>, thrust::_V_300303_SM_1200::zip_iterator<cuda::std::__4::tuple<thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, thrust::_V_300303_SM_1200::counting_iterator<long, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::use_default, thrust::_V_300303_SM_1200::compile_time_value<(int)1>>>>, cuda::std::__4::tuple<gpucpg::PfxtNode, long> *, int, cub::_V_300303_SM_1200::GridEvenShare<int>, cub::_V_300303_SM_1200::GridQueue<unsigned int>, thrust::_V_300303_SM_1200::cuda_cub::__extrema::arg_min_f<gpucpg::PfxtNode, long, gpucpg::pfxt_node_comp>>(T2...)"
0.0,1376,2,688.0,688.0,672,704,22.6,"void thrust::_V_300303_SM_1200::cuda_cub::core::detail::_kernel_agent<thrust::_V_300303_SM_1200::cuda_cub::__reduce::DrainAgent<int>, cub::_V_300303_SM_1200::GridQueue<unsigned int>, int>(T2...)"
0.0,1344,1,1344.0,1344.0,1344,1344,0.0,"void cub::_V_300303_SM_1200::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300303_SM_1200::detail::radix_sort::policy_selector_from_types<unsigned long long, unsigned int, unsigned long long>, unsigned long long>(T2 *)"
0.0,1248,1,1248.0,1248.0,1248,1248,0.0,"void thrust::_V_300303_SM_1200::cuda_cub::core::detail::_kernel_agent<thrust::_V_300303_SM_1200::cuda_cub::__reduce::ReduceAgent<cuda::std::__4::tuple<gpucpg::PfxtNode, long> *, cuda::std::__4::tuple<gpucpg::PfxtNode, long> *, cuda::std::__4::tuple<gpucpg::PfxtNode, long>, int, thrust::_V_300303_SM_1200::cuda_cub::__extrema::arg_min_f<gpucpg::PfxtNode, long, gpucpg::pfxt_node_comp>>, cuda::std::__4::tuple<gpucpg::PfxtNode, long> *, cuda::std::__4::tuple<gpucpg::PfxtNode, long> *, int, thrust::_V_300303_SM_1200::cuda_cub::__extrema::arg_min_f<gpucpg::PfxtNode, long, gpucpg::pfxt_node_comp>>(T2...)"
0.0,1088,1,1088.0,1088.0,1088,1088,0.0,"void cub::_V_300303_SM_1200::detail::select::DeviceSelectSweepKernel<cub::_V_300303_SM_1200::detail::select::policy_hub<gpucpg::PfxtNode, cub::_V_300303_SM_1200::NullType, int, (bool)0, (cub::_V_300303_SM_1200::SelectImpl)1>::Policy1000, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, cub::_V_300303_SM_1200::NullType *, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, long *, cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::__not_fn_t<gpucpg::CpGen::report_paths(int, int, bool, gpucpg::PropDistMethod, gpucpg::PfxtExpMethod, bool, float, float, int, bool, bool, bool, bool, gpucpg::CsrReorderMethod, bool, std::optional<float>, std::optional<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>)::[lambda(const gpucpg::PfxtNode &) (instance 2)]>, cub::_V_300303_SM_1200::NullType, int, cub::_V_300303_SM_1200::detail::select::streaming_context_t<long, (bool)1>, (cub::_V_300303_SM_1200::SelectImpl)1>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300303_SM_1200::detail::vsmem_t)"
0.0,1088,1,1088.0,1088.0,1088,1088,0.0,"void thrust::_V_300303_SM_1200::cuda_cub::core::detail::_kernel_agent<thrust::_V_300303_SM_1200::cuda_cub::__reduce_by_key::InitAgent<cub::_V_300303_SM_1200::ReduceByKeyScanTileState<unsigned int, int, (bool)1>, int, int *>, cub::_V_300303_SM_1200::ReduceByKeyScanTileState<unsigned int, int, (bool)1>, int, int *>(T2...)"
0.0,1056,1,1056.0,1056.0,1056,1056,0.0,"void cub::_V_300303_SM_1200::detail::select::DeviceSelectSweepKernel<cub::_V_300303_SM_1200::detail::select::policy_hub<gpucpg::PfxtNode, cub::_V_300303_SM_1200::NullType, int, (bool)0, (cub::_V_300303_SM_1200::SelectImpl)0>::Policy1000, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, cub::_V_300303_SM_1200::NullType *, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<gpucpg::PfxtNode>>, long *, cub::_V_300303_SM_1200::ScanTileState<int, (bool)1>, gpucpg::CpGen::report_paths(int, int, bool, gpucpg::PropDistMethod, gpucpg::PfxtExpMethod, bool, float, float, int, bool, bool, bool, bool, gpucpg::CsrReorderMethod, bool, std::optional<float>, std::optional<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>>)::[lambda(const gpucpg::PfxtNode &) (instance 1)], cub::_V_300303_SM_1200::NullType, int, cub::_V_300303_SM_1200::detail::select::streaming_context_t<long, (bool)1>, (cub::_V_300303_SM_1200::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300303_SM_1200::detail::vsmem_t)"
0.0,992,1,992.0,992.0,992,992,0.0,"void cub::_V_300303_SM_1200::detail::for_each::static_kernel<cub::_V_300303_SM_1200::detail::for_each::policy_hub_t::policy_500_t, unsigned long, cub::_V_300303_SM_1200::detail::for_each::op_wrapper_t<unsigned long, thrust::_V_300303_SM_1200::detail::construct1_via_allocator<thrust::_V_300303_SM_1200::device_allocator<gpucpg::TcPfxtSourceLocalStats>>, thrust::_V_300303_SM_1200::device_ptr<gpucpg::TcPfxtSourceLocalStats>>>(T2, T3)"
0.0,992,1,992.0,992.0,992,992,0.0,"void cub::_V_300303_SM_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::_V_300303_SM_1200::detail::reduce::policy_selector_from_types<int, unsigned int, cuda::std::__4::plus<int>>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<int>>, int *, unsigned int, cuda::std::__4::plus<int>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.0,800,1,800.0,800.0,800,800,0.0,"void cub::_V_300303_SM_1200::detail::transform::transform_kernel<cub::_V_300303_SM_1200::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<>, thrust::_V_300303_SM_1200::detail::normal_iterator<thrust::_V_300303_SM_1200::device_ptr<unsigned int>>>, int, cub::_V_300303_SM_1200::detail::transform::always_true_predicate, thrust::_V_300303_SM_1200::cuda_cub::__return_constant<unsigned int>, unsigned int *, >(T2, int, bool, T3, T4, T5, cub::_V_300303_SM_1200::detail::transform::kernel_arg<T6>...)"

